                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.97654,                0.44714,                 1.3819,                0.98007,                 0.9606,                0.98391,                0.70437,                 1.0996,                0.37159,                 1.5563,               0.005512,               0.005512,               0.005512
                    138,                0.97935,                0.44725,                 1.3851,                0.98036,                0.95996,                0.98396,                0.70543,                 1.0996,                0.37079,                 1.5561,               0.005479,               0.005479,               0.005479
                    139,                0.97447,                0.44618,                 1.3776,                0.98036,                0.95998,                0.98397,                0.70455,                 1.0998,                0.37073,                 1.5565,               0.005446,               0.005446,               0.005446
                    140,                0.98114,                0.44633,                 1.3869,                0.98095,                0.95966,                0.98405,                0.70475,                 1.0998,                0.37124,                 1.5563,               0.005413,               0.005413,               0.005413
                    141,                0.97834,                0.44703,                 1.3812,                0.98083,                 0.9601,                0.98435,                0.70627,                 1.0998,                0.37079,                 1.5559,                0.00538,                0.00538,                0.00538
                    142,                0.97232,                0.44501,                 1.3791,                0.98037,                0.96044,                0.98451,                0.70647,                 1.0998,                0.37108,                  1.556,               0.005347,               0.005347,               0.005347
                    143,                 0.9727,                0.44396,                 1.3763,                0.98075,                 0.9606,                0.98459,                0.70648,                 1.0999,                0.37068,                 1.5563,               0.005314,               0.005314,               0.005314
                    144,                0.96964,                0.44129,                 1.3764,                0.98099,                 0.9606,                0.98444,                0.70747,                 1.0997,                0.37006,                 1.5562,               0.005281,               0.005281,               0.005281
                    145,                0.96856,                0.44167,                 1.3779,                0.98064,                 0.9606,                 0.9843,                0.70781,                 1.0993,                0.36976,                 1.5558,               0.005248,               0.005248,               0.005248
                    146,                0.96666,                0.43887,                  1.373,                0.98072,                 0.9606,                0.98422,                0.70898,                 1.0996,                0.36978,                 1.5562,               0.005215,               0.005215,               0.005215
                    147,                0.96609,                0.44049,                 1.3737,                0.98104,                 0.9606,                0.98422,                0.70756,                 1.0995,                0.36961,                 1.5565,               0.005182,               0.005182,               0.005182
                    148,                0.96507,                0.43993,                 1.3748,                 0.9814,                0.96013,                0.98423,                0.70758,                 1.0995,                0.36908,                 1.5568,               0.005149,               0.005149,               0.005149
                    149,                0.96351,                0.43819,                 1.3705,                0.98161,                0.96013,                 0.9844,                0.70786,                 1.0997,                0.36901,                 1.5572,               0.005116,               0.005116,               0.005116
